source,target,length
1434,4065,5.718133
848,448,3.637804
448,138,4.350570
448,2226,3.114981
2226,138,2.924875
138,448,4.350570
1207,4065,1.720216
448,1722,4.463953
1722,2226,4.637801
2226,448,3.114981
448,848,3.637804
848,1722,1.899039
1722,448,4.463953
1196,1891,4.181876
1891,4094,1.909313
4094,1196,5.318094
1196,4094,5.318094
4953,1196,4.769878
1196,4953,4.769878
4953,2394,2.822150
2394,1196,2.764384
1196,2394,2.764384
2394,2841,3.257737
2841,1891,3.814292
1891,1196,4.181876
2841,2394,3.257737
2394,2486,3.607729
2486,2841,4.245165
4748,1891,3.081993
1891,2841,3.814292
4748,4094,2.365403
4094,1891,1.909313
1891,4748,3.081993
3579,1695,0.781686
4065,1207,1.720216
1695,4065,3.903908
3019,4748,2.884976
4081,242,2.487759
3019,4094,4.367326
4094,4748,2.365403
4748,3019,2.884976
4094,3019,4.367326
2841,4944,2.916893
4944,2841,2.916893
2841,2486,4.245165
2486,4944,4.354453
1974,4944,1.810797
4944,2486,4.354453
2486,1974,4.039615
1974,2486,4.039615
1101,1974,3.464969
1974,1101,3.464969
1101,2938,2.699571
3674,4081,0.900912
3674,242,3.003520
242,4081,2.487759
4081,3674,0.900912
2938,2546,3.476813
4944,1974,1.810797
547,4096,2.419494
4743,547,4.660844
4980,547,1.090654
547,4743,4.660844
4743,4980,5.125018
3002,547,1.078808
547,4980,1.090654
4980,3002,0.941138
878,547,2.051104
547,3002,1.078808
3002,878,1.562415
878,4096,2.559930
4096,547,2.419494
547,878,2.051104
4093,878,3.060074
878,2403,2.198632
2403,4093,1.534750
4093,4096,3.392547
4096,878,2.559930
878,4093,3.060074
2403,878,2.198632
878,797,4.041818
797,878,4.041818
878,3002,1.562415
3002,797,3.422253
2487,1391,2.602680
1391,4157,4.069157
4157,2487,5.747772
1184,1391,2.469421
1391,2487,2.602680
2487,1184,0.516125
1391,1184,2.469421
2352,1184,2.655416
1184,2487,0.516125
2487,2352,2.673985
1184,2352,2.655416
4096,4093,3.392547
4093,4962,2.721081
2352,4962,3.442253
4962,4093,2.721081
4093,2403,1.534750
2352,2487,2.673985
2487,4157,5.747772
4157,2827,3.209293
4247,2914,3.063780
2914,2988,1.999458
2988,4247,1.412467
706,4247,2.883106
4247,2988,1.412467
2988,706,2.377010
4895,706,1.220924
706,2988,2.377010
2988,4895,2.455246
1657,4247,3.210756
4247,706,2.883106
706,1657,4.284662
1657,2827,4.040101
2827,4247,4.963226
4247,1657,3.210756
2827,1657,4.040101
1657,2129,0.958939
2129,1657,0.958939
1657,706,4.284662
706,2129,4.565785
4962,2352,3.442253
242,3674,3.003520
3103,706,3.071974
706,4895,1.220924
4895,3103,3.754323
3103,86,3.405954
2129,3103,4.870567
3103,2129,4.870567
2129,706,4.565785
706,3103,3.071974
86,2616,5.941551
1784,1834,3.211036
522,2616,1.653876
2616,86,5.941551
86,522,4.471377
522,86,4.471377
86,3103,3.405954
3103,522,3.542291
2616,522,1.653876
4866,1784,6.494899
522,3103,3.542291
3103,4866,5.363558
4866,3103,5.363558
3103,4895,3.754323
4895,4866,3.862589
4866,4895,3.862589
4895,1011,3.616454
1011,4895,3.616454
4895,2988,2.455246
2988,1011,3.300490
1011,2988,3.300490
2988,2914,1.999458
2914,1011,1.918965
1784,4866,6.494899
790,4950,2.167080
1011,790,4.865505
4950,1842,3.171406
1842,790,2.536924
790,1011,4.865505
1011,1842,4.798307
1842,4950,3.171406
4950,790,2.167080
790,1842,2.536924
1842,3722,2.963347
2087,1268,4.130044
4452,3121,5.673407
3722,4452,3.687222
2440,1011,2.300978
1011,2914,1.918965
2914,2440,2.068454
4452,3722,3.687222
3722,2440,3.875708
2440,3722,3.875708
3722,1842,2.963347
1842,2440,5.224952
2440,1842,5.224952
1842,1011,4.798307
1011,2440,2.300978
2440,946,4.527071
946,2914,3.623374
2914,4247,3.063780
4247,946,2.941644
946,2440,4.527071
2440,2914,2.068454
2914,946,3.623374
946,4247,2.941644
4247,2827,4.963226
2827,946,4.108082
946,2827,4.108082
2827,4157,3.209293
4157,946,3.783500
861,4157,3.559332
4157,1391,4.069157
1391,861,4.571326
946,4157,3.783500
4157,861,3.559332
861,4452,6.634619
861,1391,4.571326
3084,3872,2.933546
4452,861,6.634619
3872,4517,5.001233
3121,4452,5.673407
4517,3872,5.001233
1214,4517,2.373166
4517,1214,2.373166
1214,2087,4.484696
2087,4517,5.541423
4517,2087,5.541423
2087,1214,4.484696
1214,2900,2.759728
3890,2003,3.356472
2003,2900,3.054676
2900,3890,2.048258
3872,3084,2.933546
3890,2900,2.048258
2900,1214,2.759728
1214,3890,4.488830
3890,1214,4.488830
4749,1031,2.967058
3243,382,2.922912
382,769,3.119354
769,3243,3.913133
3243,311,3.362918
311,382,1.904082
382,3243,2.922912
1504,2770,2.526631
3243,769,3.913133
769,1504,3.564113
689,2770,2.190916
2770,1504,2.526631
1504,689,0.504697
2480,2770,5.709161
2770,689,2.190916
689,2480,5.124303
523,2475,2.287724
2480,689,5.124303
1504,769,3.564113
769,523,4.894493
689,1504,0.504697
523,769,4.894493
3825,382,5.637244
382,311,1.904082
769,382,3.119354
382,3825,5.637244
608,3825,5.437368
1031,4749,2.967058
4989,3825,5.604637
3825,608,5.437368
608,4989,2.047283
4989,523,4.575581
3825,4989,5.604637
232,4989,3.032391
4989,608,2.047283
608,232,2.225795
232,608,2.225795
2844,4989,4.641043
4989,232,3.032391
1694,4989,1.637238
4989,2844,4.641043
2844,1694,4.198527
1694,523,4.016777
523,4989,4.575581
4989,1694,1.637238
1694,2475,2.662247
2475,523,2.287724
523,1694,4.016777
1861,2480,5.000130
2475,1861,4.371710
2292,2480,3.903797
2480,1861,5.000130
1861,2292,3.636459
1694,2844,4.198527
3652,1861,2.361633
1861,2475,4.371710
2475,3652,5.321309
3652,2475,5.321309
2475,1694,2.662247
1861,3652,2.361633
2292,1861,3.636459
2953,1362,4.571256
1926,1362,3.504997
1362,2953,4.571256
2953,1926,2.524627
2003,3890,3.356472
3890,923,5.388598
923,3890,5.388598
737,923,4.120163
2834,1926,3.382745
1926,2953,2.524627
2834,923,4.513085
923,737,4.120163
737,2834,0.614833
923,2834,4.513085
4313,2834,3.758634
2834,737,0.614833
737,4313,3.986097
4313,737,3.986097
797,4313,2.841270
4539,2834,4.486285
2834,4313,3.758634
4313,4539,1.541388
